iter	Passed	Remaining
830	2844	547
831	2847	544
832	2850	540
833	2854	537
834	2857	533
835	2860	530
836	2864	527
837	2867	523
838	2870	520
839	2874	516
840	2877	513
841	2881	509
842	2884	506
843	2887	502
844	2891	499
845	2894	496
846	2898	492
847	2901	489
848	2904	485
849	2908	482
850	2911	478
851	2915	475
852	2918	472
853	2922	468
854	2925	465
855	2928	461
856	2932	458
857	2935	455
858	2938	451
859	2942	448
860	2946	444
861	2949	441
862	2953	437
863	2956	434
864	2960	431
865	2963	427
866	2966	424
867	2970	420
868	2973	417
869	2976	413
870	2979	410
871	2982	407
872	2986	403
873	2989	400
874	2993	396
875	2996	393
876	3000	390
877	3003	386
878	3007	383
879	3010	379
880	3013	376
881	3017	372
882	3021	369
883	3025	366
884	3028	362
885	3032	359
886	3035	355
887	3039	352
888	3042	349
889	3046	345
890	3050	342
891	3053	338
892	3057	335
893	3060	332
894	3064	328
895	3067	325
896	3070	321
897	3074	318
898	3077	314
899	3081	311
900	3084	308
901	3088	304
902	3091	301
903	3095	297
904	3099	294
905	3102	291
906	3105	287
907	3109	284
908	3112	280
909	3116	277
910	3119	273
911	3122	270
912	3126	267
913	3129	263
914	3132	260
915	3136	256
916	3139	253
917	3143	249
918	3146	246
919	3149	243
920	3153	239
921	3156	236
922	3160	232
923	3163	229
924	3166	225
925	3169	222
926	3173	219
927	3176	215
928	3180	212
929	3183	208
930	3187	205
931	3190	201
932	3194	198
933	3197	195
934	3200	191
935	3204	188
936	3208	184
937	3211	181
938	3215	178
939	3218	174
940	3221	171
941	3225	167
942	3228	164
943	3231	160
944	3235	157
945	3238	154
946	3241	150
947	3244	147
948	3248	143
949	3251	140
950	3255	136
951	3258	133
952	3262	130
953	3265	126
954	3268	123
955	3271	119
956	3275	116
957	3278	112
958	3282	109
959	3285	106
960	3288	102
961	3292	99
962	3295	95
963	3298	92
964	3302	88
965	3305	85
966	3308	82
967	3312	78
968	3315	75
969	3318	71
970	3322	68
971	3325	65
972	3328	61
973	3331	58
974	3334	54
975	3338	51
976	3341	47
977	3345	44
978	3348	41
979	3351	37
980	3355	34
981	3358	30
982	3362	27
983	3365	23
984	3368	20
985	3372	17
986	3375	13
987	3379	10
988	3382	6
989	3385	3
990	3389	0
